Name;Surname;SamAccountName;Department;Description;DisplayName;GivenName;State;City;PostalCode;EmailAddress;Office;EmployeeID;HomePohone;Initials;Path;AccountPassword
Kimberly;De Clercq;KimberlyDC;Manager;Account voor Kimberly;KimberlyDC;Kimberly;West-Vlaanderen;Ingelmunster;8770;kimberly@red.local;B0.001;1004;`0444727272;KDC;OU=Directie,DC=red,DC=local;$paswoord
Arno;Van Nieuwenhove;ArnoVN;Manager;Account voor Arno;ArnoVN;Arno;Oost-Vlaanderen;Ninove;9404;arno@red.local;B0.002;1003;`0444727273;AVN;OU=Directie,DC=red,DC=local;$paswoord
Laurens;Blancquaert-Cassaer;LaurensBC;IT_Administration;Account voor Laurens;LaurensBC;Laurens;Oost-Vlaanderen;Gent;9000;laurens@red.local;B4.037;2015;`0444727280;LBC;OU=IT_Administratie,DC=red,DC=local;$paswoord
Ferre;Verstichelen;FerreV;IT_Administration;Account voor Ferre;FerreV;Ferre;West-Vlaanderen;Wervik;8940;ferre@red.local;B4.037;8425;`0444727281;FV;OU=IT_Administratie,DC=red,DC=local;$paswoord
Levi;Goessens;LeviG;IT_Administration;Account voor Levi;LeviG;Levi;Oost-Vlaanderen;Denderwindeke;9400;levi@red.local;B4.037;2014;`0444727284;LG;OU=IT_Administratie,DC=red,DC=local;$paswoord
Aron;Marckx;AronM;IT_Administration;Account voor Aron;AronM;Aron;Oost-Vlaanderen;Meldert;9310;aron@red.local;B4.037;8424;`0444727285;AM;OU=IT_Administratie,DC=red,DC=local;$paswoord
Jens;Van Liefferinge;JensVL;IT_Administration;Account voor Jens;JensVL;Jens;Oost-Vlaanderen;Lokeren;9160;jens@red.local;B4.037;8653;`0444727282;JVL;OU=IT_Administratie,DC=red,DC=local;$paswoord
Joachim;Van de Keere;JoachimVDK;Administration;Account voor Joachim;JoachimVDK;Joachim;Oost-Vlaanderen;Sint-Martens-Latem;9830;joachim@red.local;B4.002;2531;`0444727260;JVDK;OU=Administratie,DC=red,DC=local;$paswoord
Tibo;Vanhercke;TiboV;Administration;Account voor Tibo;TiboV;Tibo;West-Vlaanderen;Ingooigem;8570;tibo@red.local;B4.002;6312;`0444727261;TV;OU=Administratie,DC=red,DC=local;$paswoord
Yngvar;Samyn;YngvarS;Administration;Account voor Yngvar;YngvarS;Yngvar;West-Vlaanderen;Ingooigem;8570;yngvar@red.local;B4.002;2210;`0444727262;YS;OU=Administratie,DC=red,DC=local;$paswoord
Tim;Grijp;TimG;Administration;Account voor Tim;TimG;Tim;Oost-Vlaanderen;Sint-Martens-Latem;9830;tim@red.local;B4.002;2532;`0444727263;TG;OU=Administratie,DC=red,DC=local;$paswoord
Rik;Claeyssens;RikC;Administration;Account voor Rik;RikC;Rik;Oost-Vlaanderen;Sint-Martens-Latem;9830;rik@red.local;B4.002;2731;`0444727264;RC;OU=Administratie,DC=red,DC=local;$paswoord
Jannes;Van Wonterghem;JannesVW;Development;Account voor Jannes;JannesVW;Jannes;Antwerpen;Zoersel;2980;jannes@red.local;B1.018;5078;`0444727290;JVW;OU=Ontwikkeling,DC=red,DC=local;$paswoord
Jonas;Vandegehuchte;JonasV;Development;Account voor Jonas;JonasV;Jonas;Vlaams-Brabant;Bierbeek;3360;jonas@red.local;B1.018;1578;`0444727291;JV;OU=Ontwikkeling,DC=red,DC=local;$paswoord
Cédric;Van den Eede;CedricVDE;Development;Account voor Cédric;CedricVDE;Cédric;Oost-Vlaanderen;Meldert;9310;cedric@red.local;B1.018;5079;`0444727292;CVDE;OU=Ontwikkeling,DC=red,DC=local;$paswoord
CedricD;Detemmerman;CedricD;Development;Account voor Cedric;CedricD;Cedric;Oost-Vlaanderen;Haaltert;9451;cedricd@red.local;B1.018;1558;`0444727293;CD;OU=Ontwikkeling,DC=red,DC=local;$paswoord
Robin;Van de Walle;RobinVDW;Development;Account voor Robin;RobinVDW;Robin;Oost-Vlaanderen;Haaltert;9451;robin@red.local;B1.018;1658;`0444727295;RVDW;OU=Ontwikkeling,DC=red,DC=local;$paswoord
Matthias;Van de Velde;MatthiasVDV;Sale;Account voor Matthias;MatthiasVDV;Matthias;West-Vlaanderen;Koksijde;8670;matthias@red.local;B0.015;4732;`0444727200;MVDV;OU=Verkoop,DC=red,DC=local;$paswoord
Robby;Daelman;RobbyD;Sale;Account voor Robby;RobbyD;Robby;Oost-Vlaanderen;Lede;9340;robby@red.local;B0.015;4736;`0444727204;RD;OU=Verkoop,DC=red,DC=local;$paswoord
Nathan;Cammerman;NathanC;Sale;Account voor Nathan;NathanC;Nathan;West-Vlaanderen;Torhout;8820;nathan@red.local;B0.015;5822;`0444727201;NC;OU=Verkoop,DC=red,DC=local;$paswoord
Elias;Waterschoot;EliasW;Sale;Account voor Elias;EliasW;Elias;West-Vlaanderen;Torhout;8820;elias@red.local;B0.015;5423;`0444727202;EW;OU=Verkoop,DC=red,DC=local;$paswoord
Alister;Adutwum;AlisterA;Sale;Account voor Alister;AlisterA;Alister;West-Vlaanderen;Torhout;8820;alister@red.local;B0.015;7215;`0444727206;AA;OU=Verkoop,DC=red,DC=local;$paswoord
