#TYPE Microsoft.ActiveDirectory.Management.ADUser
"AccountExpirationDate";"accountExpires";"AccountLockoutTime";"AccountNotDelegated";"adminCount";"AllowReversiblePasswordEncryption";"AuthenticationPolicy";"AuthenticationPolicySilo";"BadLogonCount";"badPasswordTime";"badPwdCount";"CannotChangePassword";"CanonicalName";"Certificates";"City";"CN";"codePage";"Company";"CompoundIdentitySupported";"Country";"countryCode";"Created";"createTimeStamp";"Deleted";"Department";"Description";"DisplayName";"DistinguishedName";"Division";"DoesNotRequirePreAuth";"dSCorePropagationData";"EmailAddress";"EmployeeID";"EmployeeNumber";"Enabled";"Fax";"GivenName";"HomeDirectory";"HomedirRequired";"HomeDrive";"homeMDB";"HomePage";"HomePhone";"Initials";"instanceType";"isCriticalSystemObject";"isDeleted";"KerberosEncryptionType";"LastBadPasswordAttempt";"LastKnownParent";"lastLogoff";"lastLogon";"LastLogonDate";"lastLogonTimestamp";"legacyExchangeDN";"LockedOut";"logonCount";"LogonWorkstations";"mail";"mailNickname";"Manager";"mDBUseDefaults";"MemberOf";"MNSLogonAccount";"MobilePhone";"Modified";"modifyTimeStamp";"msDS-User-Account-Control-Computed";"msExchArchiveQuota";"msExchArchiveWarnQuota";"msExchCalendarLoggingQuota";"msExchDumpsterQuota";"msExchDumpsterWarningQuota";"msExchELCMailboxFlags";"msExchHomeServerName";"msExchMailboxGuid";"msExchMailboxSecurityDescriptor";"msExchPoliciesIncluded";"msExchRBACPolicyLink";"msExchRecipientDisplayType";"msExchRecipientTypeDetails";"msExchTextMessagingState";"msExchUMDtmfMap";"msExchUserAccountControl";"msExchUserCulture";"msExchVersion";"msExchWhenMailboxCreated";"Name";"nTSecurityDescriptor";"ObjectCategory";"ObjectClass";"ObjectGUID";"objectSid";"Office";"OfficePhone";"Organization";"OtherName";"PasswordExpired";"PasswordLastSet";"PasswordNeverExpires";"PasswordNotRequired";"POBox";"PostalCode";"PrimaryGroup";"primaryGroupID";"PrincipalsAllowedToDelegateToAccount";"ProfilePath";"ProtectedFromAccidentalDeletion";"protocolSettings";"proxyAddresses";"pwdLastSet";"SamAccountName";"sAMAccountType";"ScriptPath";"sDRightsEffective";"ServicePrincipalNames";"showInAddressBook";"SID";"SIDHistory";"SmartcardLogonRequired";"State";"StreetAddress";"Surname";"Title";"TrustedForDelegation";"TrustedToAuthForDelegation";"UseDESKeyOnly";"userAccountControl";"userCertificate";"UserPrincipalName";"uSNChanged";"uSNCreated";"whenChanged";"whenCreated"
;"9223372036854775807";;"False";"1";"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"132166022541728964";"0";"False";"red.local/Users/Administrator";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"Administrator";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:04:09";"24/10/2019 15:04:09";;;"Built-in account for administering the computer/domain";"Administrator";"CN=Administrator;CN=Users;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Administrator@red.local";;;"True";;;;"False";;"CN=Mailbox Database 1066930987;CN=Databases;CN=Exchange Administrative Group (FYDIBOHF23SPDLT);CN=Administrative Groups;CN=red;CN=Microsoft Exchange;CN=Services;CN=Configuration;DC=red;DC=local";;;;"4";"True";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"27/10/2019 0:24:14";;"0";"132166450757536114";"24/10/2019 15:10:35";"132163962351507816";"/o=red/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=0c71445d51c44c77830e0e560dd1634f-Administrator";"False";"23";;"Administrator@red.local";"Administrator";;"True";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"26/10/2019 23:48:57";"26/10/2019 23:48:57";"0";"104857600";"94371840";"6291456";"31457280";"20971520";"130";"/o=red/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=CHARLIE2";"System.Byte[]";"System.DirectoryServices.ActiveDirectorySecurity";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"CN=Default Role Assignment Policy;CN=Policies;CN=RBAC;CN=red;CN=Microsoft Exchange;CN=Services;CN=Configuration;DC=red;DC=local";"1073741824";"1";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"nl-BE";"88218628259840";"26/10/2019 14:05:31";"Administrator";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"4ada191b-505a-4c25-b43a-2399b2f1b61d";"S-1-5-21-3863123042-3658135052-3550681492-500";;;;;"False";"24/10/2019 15:02:54";"True";"False";;;"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163957749036521";"Administrator";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-500";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;;;;"False";"False";"False";"66048";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Administrator@red.local";"29734";"8196";"26/10/2019 23:48:57";"24/10/2019 15:04:09"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/Users/Guest";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"Guest";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:04:09";"24/10/2019 15:04:09";;;"Built-in account for guest access to the computer/domain";;"CN=Guest;CN=Users;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"False";;;;"False";;;;;;"4";"True";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:04:09";"24/10/2019 15:04:09";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Guest";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"630296d5-db6b-499e-8a42-5c59316743c2";"S-1-5-21-3863123042-3658135052-3550681492-501";;;;;"False";;"True";"True";;;"CN=Domain Guests;CN=Users;DC=red;DC=local";"514";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"Guest";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-501";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;;;;"False";"False";"False";"66082";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"8197";"8197";"24/10/2019 15:04:09";"24/10/2019 15:04:09"
;"9223372036854775807";;"False";"1";"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/Users/krbtgt";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"krbtgt";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:04:55";"24/10/2019 15:04:55";;;"Key Distribution Center Service Account";;"CN=krbtgt;CN=Users;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"False";;;;"False";;;;;;"4";"True";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"26/10/2019 13:27:30";"26/10/2019 13:27:30";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"krbtgt";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"70c1a214-a972-4473-9c84-aab0608d5300";"S-1-5-21-3863123042-3658135052-3550681492-502";;;;;"False";"24/10/2019 15:04:55";"False";"False";;;"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163958956194885";"krbtgt";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-502";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;;;;"False";"False";"False";"514";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"27974";"12324";"26/10/2019 13:27:30";"24/10/2019 15:04:55"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/Directie/Kimberly";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Ingelmunster";"Kimberly";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:22";"24/10/2019 15:11:22";;"Manager";"Account voor Kimberly";"KimberlyDC";"CN=Kimberly;OU=Directie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"KimberlyDC@red.local";"1004";;"True";;"Kimberly";;"False";;"CN=Mailbox Database 1066930987;CN=Databases;CN=Exchange Administrative Group (FYDIBOHF23SPDLT);CN=Administrative Groups;CN=red;CN=Microsoft Exchange;CN=Services;CN=Configuration;DC=red;DC=local";;"0444727272";"KDC";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"132166456316207131";"27/10/2019 11:27:11";"132166456316207131";"/o=red/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=d1c0dd64bc96468d900c6f502c85703d-Kimberly";"False";"1";;"KimberlyDC@red.local";"KimberlyDC";;"True";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"27/10/2019 11:27:26";"27/10/2019 11:27:26";"0";"104857600";"94371840";"6291456";"31457280";"20971520";"130";"/o=red/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=CHARLIE2";"System.Byte[]";"System.DirectoryServices.ActiveDirectorySecurity";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"CN=Default Role Assignment Policy;CN=Policies;CN=RBAC;CN=red;CN=Microsoft Exchange;CN=Services;CN=Configuration;DC=red;DC=local";"1073741824";"1";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"nl-NL";"88218628259840";"27/10/2019 1:09:51";"Kimberly";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"e34ebdbc-8e80-43c0-ab3d-f4c1f1a0523f";"S-1-5-21-3863123042-3658135052-3550681492-1108";"B0.001";;;;"False";"24/10/2019 15:11:22";"False";"False";;"8770";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962828135356";"KimberlyDC";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1108";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"West-Vlaanderen";;"De Clercq";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"33859";"12652";"27/10/2019 11:27:26";"24/10/2019 15:11:22"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/Directie/Arno";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Ninove";"Arno";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:22";"24/10/2019 15:11:22";;"Manager";"Account voor Arno";"ArnoVN";"CN=Arno;OU=Directie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"arno@red.local";"1003";;"True";;"Arno";;"False";;;;"0444727273";"AVN";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;"arno@red.local";;"CN=Kimberly;OU=Directie;DC=red;DC=local";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:11:26";"24/10/2019 15:11:26";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Arno";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"cd289f02-803a-44b0-8f46-1f0b5c979a74";"S-1-5-21-3863123042-3658135052-3550681492-1109";"B0.002";;;;"False";"24/10/2019 15:11:22";"False";"False";;"9404";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962828823981";"ArnoVN";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1109";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"Oost-Vlaanderen";;"Van Nieuwenhove";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"12873";"12657";"24/10/2019 15:11:26";"24/10/2019 15:11:22"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/IT_Administratie/Laurens";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Gent";"Laurens";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:22";"24/10/2019 15:11:22";;"IT_Administration";"Account voor Laurens";"LaurensBC";"CN=Laurens;OU=IT_Administratie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"laurens@red.local";"2015";;"True";;"Laurens";;"False";;;;"0444727280";"LBC";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;"laurens@red.local";;"CN=Kimberly;OU=Directie;DC=red;DC=local";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:11:26";"24/10/2019 15:11:26";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Laurens";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"f3cbc133-7bfd-4350-a4b4-d1f07f961853";"S-1-5-21-3863123042-3658135052-3550681492-1110";"B4.037";;;;"False";"24/10/2019 15:11:22";"False";"False";;"9000";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962829590416";"LaurensBC";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1110";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"Oost-Vlaanderen";;"Blancquaert-Cassaer";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"12874";"12662";"24/10/2019 15:11:26";"24/10/2019 15:11:22"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/IT_Administratie/Ferre";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Wervik";"Ferre";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:23";"24/10/2019 15:11:23";;"IT_Administration";"Account voor Ferre";"FerreV";"CN=Ferre;OU=IT_Administratie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"ferre@red.local";"8425";;"True";;"Ferre";;"False";;;;"0444727281";"FV";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;"ferre@red.local";;"CN=Laurens;OU=IT_Administratie;DC=red;DC=local";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:11:26";"24/10/2019 15:11:26";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Ferre";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"292c00fb-bdb0-4dc6-98ea-b4e8d9abfce9";"S-1-5-21-3863123042-3658135052-3550681492-1111";"B4.037";;;;"False";"24/10/2019 15:11:23";"False";"False";;"8940";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962830322827";"FerreV";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1111";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"West-Vlaanderen";;"Verstichelen";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"12875";"12667";"24/10/2019 15:11:26";"24/10/2019 15:11:23"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/IT_Administratie/Levi";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Denderwindeke";"Levi";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:23";"24/10/2019 15:11:23";;"IT_Administration";"Account voor Levi";"LeviG";"CN=Levi;OU=IT_Administratie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"levi@red.local";"2014";;"True";;"Levi";;"False";;;;"0444727284";"LG";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;"levi@red.local";;"CN=Laurens;OU=IT_Administratie;DC=red;DC=local";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:11:26";"24/10/2019 15:11:26";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Levi";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"c5f2a28c-2209-4482-a1e8-50de96ff0ba6";"S-1-5-21-3863123042-3658135052-3550681492-1112";"B4.037";;;;"False";"24/10/2019 15:11:23";"False";"False";;"9400";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962831989810";"LeviG";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1112";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"Oost-Vlaanderen";;"Goessens";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"12876";"12672";"24/10/2019 15:11:26";"24/10/2019 15:11:23"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/IT_Administratie/Aron";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Meldert";"Aron";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:23";"24/10/2019 15:11:23";;"IT_Administration";"Account voor Aron";"AronM";"CN=Aron;OU=IT_Administratie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"aron@red.local";"8424";;"True";;"Aron";;"False";;;;"0444727285";"AM";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;"aron@red.local";;"CN=Laurens;OU=IT_Administratie;DC=red;DC=local";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:11:26";"24/10/2019 15:11:26";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Aron";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"d6d91092-6a16-4c7b-b317-7609e55a29ce";"S-1-5-21-3863123042-3658135052-3550681492-1113";"B4.037";;;;"False";"24/10/2019 15:11:23";"False";"False";;"9310";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962832813050";"AronM";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1113";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"Oost-Vlaanderen";;"Marckx";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"12877";"12677";"24/10/2019 15:11:26";"24/10/2019 15:11:23"
;"9223372036854775807";;"False";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"0";"0";"0";"False";"red.local/IT_Administratie/Jens";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Lokeren";"Jens";"0";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"0";"24/10/2019 15:11:23";"24/10/2019 15:11:23";;"IT_Administration";"Account voor Jens";"JensVL";"CN=Jens;OU=IT_Administratie;DC=red;DC=local";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"jens@red.local";"8653";;"True";;"Jens";;"False";;;;"0444727282";"JVL";"4";;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;"0";"0";;;;"False";"0";;"jens@red.local";;"CN=Laurens;OU=IT_Administratie;DC=red;DC=local";;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";;"24/10/2019 15:11:26";"24/10/2019 15:11:26";"0";;;;;;;;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;;;;"Jens";"System.DirectoryServices.ActiveDirectorySecurity";"CN=Person;CN=Schema;CN=Configuration;DC=red;DC=local";"user";"e7e9ba90-9d1f-426b-b07f-13bfa87569df";"S-1-5-21-3863123042-3658135052-3550681492-1114";"B4.037";;;;"False";"24/10/2019 15:11:23";"False";"False";;"9160";"CN=Domain Users;CN=Users;DC=red;DC=local";"513";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"False";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"132163962833603474";"JensVL";"805306368";;"15";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"S-1-5-21-3863123042-3658135052-3550681492-1114";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";"False";"Oost-Vlaanderen";;"Van Liefferinge";;"False";"False";"False";"512";"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection";;"12878";"12682";"24/10/2019 15:11:26";"24/10/2019 15:11:23"
